timestamp,msg_type,scan_index,dist_or_yaw,pulse_L_or_ax,pulse_R_or_ay,az,gz
12:53:03.502,S,6,86.0,50.4,39.3,,
12:53:03.565,S,6,88.0,50.4,39.3,,
12:53:03.693,S,6,90.0,50.5,39.3,,
12:53:03.757,S,6,92.0,50.9,39.3,,
12:53:03.882,S,6,94.0,50.9,39.3,,
12:53:03.997,S,6,96.0,50.1,39.7,,
12:53:04.057,S,6,98.0,51.4,39.7,,
12:53:04.182,S,6,100.0,50.6,39.7,,
12:53:04.245,S,6,102.0,88.6,39.7,,
12:53:04.372,S,6,104.0,89.1,40.2,,
12:53:04.435,S,6,106.0,90.7,40.2,,
12:53:04.557,S,6,108.0,92.9,40.6,,
12:53:04.685,S,6,110.0,122.9,41.1,,
12:53:04.750,S,6,112.0,111.3,40.7,,
12:53:04.875,S,6,114.0,113.9,41.2,,
12:53:05.001,S,6,116.0,131.4,41.6,,
12:53:05.128,S,6,118.0,95.2,43.3,,
12:53:05.246,S,6,120.0,164.1,126.6,,
12:53:05.374,S,6,122.0,130.0,127.4,,
12:53:05.502,S,6,124.0,107.2,126.5,,
